institution,city,state,carnegie_basic,campus
Alabama A & M University,Normal,AL,18,
University of Alabama at Birmingham,Birmingham,AL,15,
Amridge University,Montgomery,AL,20,
University of Alabama in Huntsville,Huntsville,AL,15,
Alabama State University,Montgomery,AL,17,
The University of Alabama,Tuscaloosa,AL,15,
Central Alabama Community College,Alexander City,AL,5,
Athens State University,Athens,AL,22,
Auburn University at Montgomery,Montgomery,AL,18,
Auburn University,Auburn,AL,15,
Birmingham-Southern College,Birmingham,AL,21,
Chattahoochee Valley Community College,Phenix City,AL,4,
South University-Montgomery,Montgomery,AL,22,
Enterprise State Community College,Enterprise,AL,2,
Coastal Alabama Community College,Bay Minette,AL,4,
Faulkner University,Montgomery,AL,18,
Gadsden State Community College,Gadsden,AL,7,
New Beginning College of Cosmetology,Albertville,AL,-2,
George C Wallace Community College-Dothan,Dothan,AL,7,
George C Wallace State Community College-Hanceville,Hanceville,AL,7,
George C Wallace State Community College-Selma,Selma,AL,5,
Herzing University-Birmingham,Birmingham,AL,26,
Huntingdon College,Montgomery,AL,22,
Heritage Christian University,Florence,AL,24,
J. F. Drake State Community and Technical College,Huntsville,AL,8,
J F Ingram State Technical College,Deatsville,AL,-2,
Jacksonville State University,Jacksonville,AL,18,
Jefferson State Community College,Birmingham,AL,8,
John C Calhoun State Community College,Tanner,AL,5,
Lawson State Community College,Birmingham,AL,4,
University of West Alabama,Livingston,AL,18,
Lurleen B Wallace Community College,Andalusia,AL,5,
Marion Military Institute,Marion,AL,1,
Miles College,Fairfield,AL,22,
University of Mobile,Mobile,AL,20,
University of Montevallo,Montevallo,AL,19,
Northwest-Shoals Community College,Muscle Shoals,AL,8,
University of North Alabama,Florence,AL,18,
Northeast Alabama Community College,Rainsville,AL,5,
Oakwood University,Huntsville,AL,21,
Reid State Technical College,Evergreen,AL,7,
Bishop State Community College,Mobile,AL,8,
Samford University,Birmingham,AL,17,
Selma University,Selma,AL,-2,
Shelton State Community College,Tuscaloosa,AL,8,
Snead State Community College,Boaz,AL,3,
University of South Alabama,Mobile,AL,16,
Spring Hill College,Mobile,AL,22,
Stillman College,Tuscaloosa,AL,22,
Talladega College,Talladega,AL,22,
H Councill Trenholm State Community College,Montgomery,AL,7,
Troy University,Troy,AL,18,
Tuskegee University,Tuskegee,AL,19,
United States Sports Academy,Daphne,AL,32,
Bevill State Community College,Jasper,AL,8,
University of Alaska Anchorage,Anchorage,AK,18,
Alaska Bible College,Palmer,AK,24,
University of Alaska Fairbanks,Fairbanks,AK,16,
University of Alaska Southeast,Juneau,AK,19,
Alaska Pacific University,Anchorage,AK,22,
Alaska Vocational Technical Center,Seward,AK,-2,
Charter College,Vancouver,WA,23,
Alaska Career College,Anchorage,AK,13,
Empire Beauty School-Tucson,Tucson,AZ,-2,
Carrington College-Phoenix North,Phoenix,AZ,10,
Carrington College-Mesa,Mesa,AZ,10,
Carrington College-Tucson,Tucson,AZ,10,
Arizona Academy of Beauty,Tucson,AZ,-2,
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,-2,
Brookline College-Phoenix,Phoenix,AZ,26,
Arizona State University Campus Immersion,Tempe,AZ,15,
Arizona Western College,Yuma,AZ,2,
University of Arizona,Tucson,AZ,15,
Central Arizona College,Coolidge,AZ,2,
Charles of Italy Beauty College,Lake Havasu City,AZ,-2,
Cochise County Community College District,Sierra Vista,AZ,9,
Empire Beauty School-Chandler,Chandler,AZ,-2,
Avalon Institute-Mesa,Mesa,AZ,-2,
Eastern Arizona College,Thatcher,AZ,6,
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,22,
The School of Architecture,Paradise Valley,AZ,32,
Glendale Community College,Glendale,AZ,2,0
Glendale Community College,Glendale,CA,1,1
Grand Canyon University,Phoenix,AZ,17,
GateWay Community College,Phoenix,AZ,8,
Mesa Community College,Mesa,AZ,2,
Mohave Community College,Kingman,AZ,6,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,-2,
Dine College,Tsaile,AZ,33,
Northern Arizona University,Flagstaff,AZ,16,
Northland Pioneer College,Holbrook,AZ,9,
Phoenix College,Phoenix,AZ,2,
Pima Community College,Tucson,AZ,3,
Pima Medical Institute-Tucson,Tucson,AZ,26,
Pima Medical Institute-Albuquerque,Albuquerque,NM,10,
Prescott College,Prescott,AZ,19,
Refrigeration School Inc,Phoenix,AZ,11,
Rio Salado College,Tempe,AZ,6,
Roberto-Venn School of Luthiery,Phoenix,AZ,-2,
Scottsdale Community College,Scottsdale,AZ,3,
South Mountain Community College,Phoenix,AZ,2,
Arizona Christian University,Glendale,AZ,22,
Universal Technical Institute of Arizona Inc,Avondale,AZ,11,
Yavapai College,Prescott,AZ,2,
University of Arkansas at Little Rock,Little Rock,AR,16,
University of Arkansas for Medical Sciences,Little Rock,AR,27,
Arkansas Baptist College,Little Rock,AR,23,
Arkansas Beauty School-Little Rock,Little Rock,AR,-2,
Arkansas Beauty College,Russellville,AR,-2,
Lyon College,Batesville,AR,21,
Arkansas Technical School,North Little Rock,AR,-2,
Arthur's Beauty College,Fort Smith,AR,-2,0
Arthur's Beauty College,Jacksonville,AR,-2,1
Arthur's Beauty College,Conway,AR,-2,2
Arthur's Beauty College,Jonesboro,AR,-2,3
University of Arkansas,Fayetteville,AR,15,
University of Arkansas at Pine Bluff,Pine Bluff,AR,22,
Arkansas State University-Beebe,Beebe,AR,4,
Arkansas State University,Jonesboro,AR,16,
Arkansas Tech University,Russellville,AR,18,
University of Arkansas at Monticello,Monticello,AR,19,
Baptist Health College Little Rock,Little Rock,AR,10,
Black River Technical College,Pocahontas,AR,1,
University of Central Arkansas,Conway,AR,17,
Central Baptist College,Conway,AR,22,
Cossatot Community College of the University of Arkansas,De Queen,AR,2,
Crowley's Ridge College,Paragould,AR,22,
East Arkansas Community College,Forrest City,AR,5,
Paul Mitchell the School-Little Rock,North Little Rock,AR,-2,
National Park College,Hot Springs,AR,4,
University of Arkansas Community College-Batesville,Batesville,AR,7,
Harding University,Searcy,AR,17,
Henderson State University,Arkadelphia,AR,19,
Hendrix College,Conway,AR,21,
Hot Springs Beauty College,Hot Springs,AR,-2,
Jefferson Regional School of Nursing,Pine Bluff,AR,10,
John Brown University,Siloam Springs,AR,19,
Career Academy of Hair Design,Springdale,AR,-2,
Academy of Salon and Spa,Fort Smith,AR,-2,
Arkansas State University Mid-South,West Memphis,AR,3,
Arkansas Northeastern College,Blytheville,AR,5,
New Tyler Barber College Inc,North Little Rock,AR,-2,
North Arkansas College,Harrison,AR,4,
Northwest Technical Institute,Springdale,AR,-2,
Ouachita Baptist University,Arkadelphia,AR,21,
Arkansas State University Three Rivers,Malvern,AR,9,
Ozarka College,Melbourne,AR,1,
University of the Ozarks,Clarksville,AR,22,
University of Arkansas Community College-Morrilton,Morrilton,AR,1,
Philander Smith College,Little Rock,AR,22,
Phillips Community College of the University of Arkansas,Helena,AR,5,
Southeast Arkansas College,Pine Bluff,AR,3,
Professional Cosmetology Education Center,El Dorado,AR,-2,
University of Arkansas-Pulaski Technical College,North Little Rock,AR,1,
University of Arkansas Hope-Texarkana,Hope,AR,5,
University of Arkansas Community College Rich Mountain,Mena,AR,4,
Paul Mitchell the School-Arkansas,Fayetteville,AR,-2,
Searcy Beauty College,Searcy,AR,-2,
Shorter College,N Little Rock,AR,1,
Williams Baptist University,Walnut Ridge,AR,22,
South Arkansas Community College,El Dorado,AR,5,
Southern Arkansas University Main Campus,Magnolia,AR,18,
Southern Arkansas University Tech,Camden,AR,8,
Velvatex College of Beauty Culture,Little Rock,AR,-2,
University of Arkansas-Fort Smith,Fort Smith,AR,22,
Academy of Art University,San Francisco,CA,18,
Academy of Chinese Culture and Health Sciences,Oakland,CA,26,
College of Alameda,Alameda,CA,3,
Allan Hancock College,Santa Maria,CA,2,
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,-2,
Berkeley School of Theology,Berkeley,CA,24,
American Film Institute Conservatory,Los Angeles,CA,30,
American Beauty College,West Covina,CA,-2,
American Career College-Los Angeles,Los Angeles,CA,10,
American River College,Sacramento,CA,5,
Antelope Valley Community College District,Lancaster,CA,14,
Art Center College of Design,Pasadena,CA,20,
Associated Technical College-Los Angeles,Los Angeles,CA,-2,
Associated Technical College-San Diego,San Diego,CA,-2,
Azusa Pacific University,Azusa,CA,16,
Bakersfield College,Bakersfield,CA,14,
Barstow Community College,Barstow,CA,7,
Bellus Academy-Chula Vista,Chula Vista,CA,-2,
Bethesda University,Anaheim,CA,22,
Biola University,La Mirada,CA,17,
Brownson Technical School,Anaheim,CA,-2,
Bryan University,Tempe,AZ,23,0
Bryan University,Springfield,MO,23,1
Butte College,Oroville,CA,7,
California Institute of Integral Studies,San Francisco,CA,17,
Cabrillo College,Aptos,CA,1,
California Baptist University,Riverside,CA,18,
California College of the Arts,San Francisco,CA,30,
University of California-Hastings College of Law,San Francisco,CA,31,
California Institute of Technology,Pasadena,CA,15,
California Lutheran University,Thousand Oaks,CA,18,
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,18,
Alliant International University-San Diego,San Diego,CA,17,
California State University-Bakersfield,Bakersfield,CA,18,
California State University-Stanislaus,Turlock,CA,18,
California State University-San Bernardino,San Bernardino,CA,16,
California State Polytechnic University-Pomona,Pomona,CA,18,
California State University-Chico,Chico,CA,18,
California State University-Dominguez Hills,Carson,CA,18,
California State University-Fresno,Fresno,CA,16,
California State University-Fullerton,Fullerton,CA,16,
California State University-East Bay,Hayward,CA,16,
California State University-Long Beach,Long Beach,CA,16,
California State University-Los Angeles,Los Angeles,CA,18,
California State University-Northridge,Northridge,CA,18,
California State University-Sacramento,Sacramento,CA,18,
University of California-Berkeley,Berkeley,CA,15,
University of California-Davis,Davis,CA,15,
University of California-Irvine,Irvine,CA,15,
University of California-Los Angeles,Los Angeles,CA,15,
University of California-Riverside,Riverside,CA,15,
University of California-San Diego,La Jolla,CA,15,
University of California-San Francisco,San Francisco,CA,27,
University of California-Santa Barbara,Santa Barbara,CA,15,
University of California-Santa Cruz,Santa Cruz,CA,15,
Sofia University,Palo Alto,CA,32,
California Beauty School,Modesto,CA,-2,
California Christian College,Fresno,CA,24,
Haven University,Garden Grove,CA,24,
California Hair Design Academy,La Mesa,CA,-2,
California Institute of the Arts,Valencia,CA,19,
California State University Maritime Academy,Vallejo,CA,22,
California Western School of Law,San Diego,CA,31,
Canada College,Redwood City,CA,3,
College of the Canyons,Santa Clarita,CA,2,
Career Academy of Beauty,Garden Grove,CA,-2,
Casa Loma College-Los Angeles,Sherman Oaks,CA,10,
CET-San Diego,San Diego,CA,-2,
CET-San Jose,San Jose,CA,-2,
CET-El Centro,El Centro,CA,-2,
CET-Colton,Colton,CA,-2,
CET-Watsonville,Watsonville,CA,-2,
CET-Salinas,Salinas,CA,-2,
Cerritos College,Norwalk,CA,1,
Cerro Coso Community College,Ridgecrest,CA,3,
Chabot College,Hayward,CA,1,
Chaffey College,Rancho Cucamonga,CA,1,
Chapman University,Orange,CA,16,
Charles R Drew University of Medicine and Science,Los Angeles,CA,26,
Concordia University-Irvine,Irvine,CA,17,
San Diego Christian College,Spring Valley,CA,20,
Church Divinity School of the Pacific,Berkeley,CA,24,
Citrus College,Glendora,CA,1,
Citrus Heights Beauty College,Citrus Heights,CA,-2,
City College of San Francisco,San Francisco,CA,4,
Claremont Graduate University,Claremont,CA,16,
Claremont McKenna College,Claremont,CA,21,
Milan Institute-Visalia,Visalia,CA,-2,
Clovis Adult Education,Clovis,CA,-2,
Coastline Community College,Fountain Valley,CA,3,
University of Silicon Valley,San Jose,CA,22,
Coba Academy,Anaheim,CA,-2,
Western University of Health Sciences,Pomona,CA,25,
Columbia College,Sonora,CA,1,0
Columbia College,Columbia,MO,18,1
Columbia College,Columbia,SC,20,2
Columbia College,Vienna,VA,2,3
Columbia College Hollywood,Tarzana,CA,30,
Compton College,Compton,CA,6,
Contra Costa College,San Pablo,CA,2,
Cosumnes River College,Sacramento,CA,5,
Crafton Hills College,Yucaipa,CA,1,
Cuesta College,San Luis Obispo,CA,2,
Cuyamaca College,El Cajon,CA,2,
Cypress College,Cypress,CA,14,
De Anza College,Cupertino,CA,5,
International School of Beauty Inc,Palm Desert,CA,-2,
Dell'Arte International School of Physical Theatre,Blue Lake,CA,30,
College of the Desert,Palm Desert,CA,1,
Design Institute of San Diego,San Diego,CA,30,
Dharma Realm Buddhist University,Ukiah,CA,-2,
Diablo Valley College,Pleasant Hill,CA,1,
Dominican University of California,San Rafael,CA,19,
Dominican School of Philosophy & Theology,Berkeley,CA,20,
East Los Angeles College,Monterey Park,CA,2,
El Camino Community College District,Torrance,CA,1,
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,26,
Empire College,Santa Rosa,CA,23,
Evergreen Valley College,San Jose,CA,2,
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,23,
Feather River Community College District,Quincy,CA,14,
Federico Beauty Institute,Sacramento,CA,-2,
Fielding Graduate University,Santa Barbara,CA,17,
