season,timestamp,institution,location,subject_area,review_date,url,rank,appointment
2021-2022,2021-04-17T13:37:30.760,East China Normal University,China,Estuarine and Coastal Research,2021-09-05,https://euraxess.ec.europa.eu/jobs/627283,Rank Open,Tenure Track
2021-2022,2021-05-01T11:44:43.711,University of Manitoba,Canada,Plant Molecular Biology,2021-08-31,https://www.academicwork.ca/jobs/po361539assistant-associate-full-professor-in-plant-molecular-biology-university-of-manitoba,Rank Open,Tenure Track
2021-2022,2021-05-10T13:33:58.852,Utah State University,Utah,Terrestrial Ecosystem Ecology,2021-09-01,https://qcnr.usu.edu/wild/news/professor_job_05-21,Asst Prof,Tenure Track
2021-2022,2021-05-11T13:50:40.076,Dalhousie University,Canada,Biology/Ocean Tracking Network,2022-01-14,https://dal.peopleadmin.ca/postings/6157,Full Prof,Tenure Track
2021-2022,2021-05-14T10:22:01.400,Texas A&M University,Texas,Oceanography,2021-09-01,https://apply.interfolio.com/86642,Asst Prof,Tenure Track
2021-2022,2021-05-15T12:34:46.298,University of Manitoba,Canada,Microbe-Plant Interactions,2021-08-20,https://www.academicwork.ca/jobs/po362950-assistant-associate-professor-in-microbe-plant-interactions-university-of-manitoba,Asst / Assoc Prof,Tenure Track
2021-2022,2021-05-22T11:28:47.996,University of Manitoba,Canada,Mathematics of Life Sciences,2021-10-01,https://www.mathjobs.org/jobs/list/17607,Asst / Assoc Prof,Tenure Track
2021-2022,2021-05-28T11:00:16.152,Université du Québec en Abitibi-Témiscamingue (UQAT),Canada,Ecology & Management of Terrestrial Wildlife,2021-08-13,https://www.uqat.ca/telechargements/offres_emploi/2021-061A.pdf,Asst / Assoc Prof,Tenure Track
2021-2022,2021-06-04T17:06:31.939,University of Florida,Florida,Invasion Science,2021-09-01,https://apply.interfolio.com/88681,Full Prof / Director,Tenure Track
2021-2022,2021-06-17T10:36:11.297,Uppsala University,Sweden,Data-Driven Evolution & Biodiversity,2021-09-06,https://www.uu.se/en/about-uu/join-us/details/?positionId=409922,Asst Prof,Tenure Track
2021-2022,2021-06-17T11:03:44.998,Uppsala University,Sweden,Plant Ecology,2021-09-30,https://www.uu.se/en/about-uu/join-us/details/?positionId=397576,Assoc Prof,Tenure Track
2021-2022,2021-06-23T04:47:01.249,KU Leuven,Belgium,"Ecological, Environmental & Evolutionary Genomics",2021-09-17,https://evol.mcmaster.ca/~brian/evoldir/Jobs/KULeuven_Belgium.EcolEnvironEvolGenomics,Asst / Assoc Prof,Tenure Track
2021-2022,2021-06-28T06:44:24.793,Umeå Plant Science Centre,Sweden,Data Driven Evolution and Biodiversity,2021-09-05,https://www.upsc.se/jobs/6212-associate-senior-lecturer-assistant-professor-in-data-driven-evolution-and-biodiversity.html,Asst Prof,Tenure Track
2021-2022,2021-06-28T10:28:57.886,Australian National University,Australia,Photosynthetic Biology,2021-08-08,https://jobs.anu.edu.au/cw/en/job/540890/group-leader,Asst / Assoc Prof,Tenure Track
2021-2022,2021-06-28T10:30:35.485,Australian National University,Australia,Host-Microbe Biology or Membrane Biology,2021-08-08,https://jobs.anu.edu.au/cw/en/job/540890/group-leader,Asst / Assoc Prof,Tenure Track
2021-2022,2021-06-28T10:32:16.986,Australian National University,Australia,Biology,2021-08-08,https://jobs.anu.edu.au/cw/en/job/540890/group-leader,Asst / Assoc Prof.,Tenure Track
2021-2022,2021-06-30T12:10:20.634,EAWAG Zurich,Switzerland,Adaptation to Environmental Change in Freshwater Ecosystems,2021-09-05,https://apply.refline.ch/673277/0864/pub/1/index.html,Asst Prof,Tenure Track
2021-2022,2021-07-01T12:00:49.010,Allegheny College,Pennsylvania,Environmental Science and Sustainability,,https://careers.insidehighered.com/job/2177951/visiting-assistant-professor-of-environmental-science-and-sustainability/,VAP,Fixed Term
2021-2022,2021-07-02T23:31:24.032,Finnish Museum of Natural History,Finland,Entomology,2021-08-01,https://www2.helsinki.fi/en/open-positions/curator-in-entomology-fixed-term,Curator of Entomology,Fixed Term
2021-2022,2021-07-05T12:16:30.363,SUNY ESF,New York,Forest Pathology & Forest Health,2021-08-31,https://esf.interviewexchange.com/jobofferdetails.jsp;jsessionid=8D76DD62C5B19FA9CB5F99526CBACB07?JOBID=133059,Asst Prof,Tenure Track
