season,timestamp,institution,location,subject_area,review_date,url,rank,appointment,institution_clean,carnegie_basic,is_r1
2020-2021,2020-05-23T17:21:14.161,University of Wyoming,Wyoming,Plant Evolutionary Biology,2020-09-01,https://uwyo.taleo.net/careersection/00_ex/jobdetail.ftl?job=20001209&tz=GMT-05:00&tzname=America/Chicago,Rank Open,Tenure Track,University of Wyoming,16,false
2020-2021,2020-06-23T15:48:04.414,Northwestern Oklahoma State University,Oklahoma,Biology / Zoology,,https://www.higheredjobs.com/details.cfm?JobCode=177274414&utm_source=06_23_20&utm_medium=email&utm_campaign=JobAgentEmail,Asst Prof,Tenure Track,Northwestern Oklahoma State University,20,false
2020-2021,2020-06-30T17:49:25.263,Hope College,Michigan,Ecology,2020-10-09,https://www.schooljobs.com/careers/hopeedu/jobs/2793082/biology-assistant-professor-ecology,Asst Prof,Tenure Track,Hope College,21,false
2020-2021,2020-07-01T17:26:18.853,University of South Alabama,Alabama,Plant Systematics,2020-08-15,https://www.southalabama.edu/departments/academicaffairs/resources/academicaffairspostings/bly_3217_3220_asst_010121.pdf,Asst Prof,Tenure Track,University of South Alabama,16,false
2020-2021,2020-07-01T17:29:02.514,University of South Alabama,Alabama,Development & Evolution,2020-08-15,https://www.southalabama.edu/departments/academicaffairs/resources/academicaffairspostings/bly_3217_3220_asst_010121.pdf,Asst Prof,Tenure Track,University of South Alabama,16,false
2020-2021,2020-07-02T11:34:21.548,Auburn University,Alabama,Forest Biomaterials and Energy,,https://aufacultypositions.peopleadmin.com/postings/4213,Asst Prof,Tenure Track,Auburn University,15,true
2020-2021,2020-07-07T09:30:39.623,University at Buffalo (SUNY) ,New York,Microbiome Science,2020-09-01,http://www.ubjobs.buffalo.edu/postings/24837,Assoc / Full Prof,Tenure Track,University at Buffalo,15,true
2020-2021,2020-07-08T09:55:43.072,University of Miami,Florida,Tropical Ecology,2020-08-15,https://umiami.wd1.myworkdayjobs.com/en-US/UMFaculty/job/Coral-Gables-FL/A-S-BIL-Associate-Professor---Professor--Aresty-Endowed-Chair-in-Tropical-Biology-_R100039301,Assoc / Full Prof,Tenure Track,University of Miami,15,true
2020-2021,2020-07-14T08:23:14.383,University of Kansas,Kansas,Director of Biodiversity Institute,2020-08-31,https://jobs.sciencecareers.org/job/517665/director-biodiversity-institute-and-natural-history-museum-and-professor/?TrackID=281544&utm_source=jobs&utm_medium=email&utm_campaign=email-careers-job-alert&BatchID=3663&JobAlertId=348486,Full Prof,Tenure Track,University of Kansas,15,true
2020-2021,2020-07-15T10:14:33.211,Colorado College,Colorado,Environmental Science,2020-10-01,https://employment.coloradocollege.edu/postings/4442,Asst Prof,Tenure Track,Colorado College,21,false
2020-2021,2020-07-15T12:27:11.033,West Chester University,Pennsylvania,Freshwater Ecology,2020-10-05,https://www.governmentjobs.com/careers/wcupa/jobs/2813834/20-166-tenure-track-assistant-professor-of-biology-freshwater-ecologist,Asst Prof,Tenure Track,West Chester University of Pennsylvania,16,false
2020-2021,2020-07-16T12:51:28.268,Mississippi State University,Mississippi,Insect Pathologist,,https://explore.msujobs.msstate.edu/en-us/job/500276/assistant-professor,Asst Prof,Tenure Track,Mississippi State University,15,true
2020-2021,2020-07-16T12:52:55.425,Mississippi State University,Mississippi,Insect Taxonomist / Systematist,2021-01-04,https://explore.msujobs.msstate.edu/en-us/job/500278/assistantassociate-professor-director,Asst / Assoc Prof,Tenure Track,Mississippi State University,15,true
2020-2021,2020-07-21T07:56:29.080,Wesleyan University,Connecticut,Cell & Developmental Biology,2020-12-15,https://www.higheredjobs.com/details.cfm?JobCode=177286726&utm_source=07_18_20&utm_medium=email&utm_campaign=JobAgentEmail,Asst Prof,Tenure Track,Wesleyan University,21,false
2020-2021,2020-07-24T12:10:13.039,Florida A&M,Florida,Entomology - Biological Control,2020-09-04,https://irattlerhcm.famu.edu/psc/famujobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=3153&PostingSeq=1&,Asst Prof,Tenure Track,Florida Agricultural and Mechanical University,16,false
2020-2021,2020-07-25T16:43:03.370,Swarthmore College,Pennsylvania,Conservation Biology,2020-10-15,https://apply.interfolio.com/77478,Asst Prof,Tenure Track,Swarthmore College,21,false
2020-2021,2020-07-27T18:49:38.048,Morehead State University,Kentucky,Environmental Biology,2020-08-28,https://moreheadstate.peopleadmin.com/postings/9384?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof,Tenure Track,Morehead State University,18,false
