day_of_season,running_count,timestamp,institution,location,subject_area
143,1,2020-05-23T17:21:14.161,University of Wyoming,Wyoming,Plant Evolutionary Biology
174,2,2020-06-23T15:48:04.414,Northwestern Oklahoma State University,Oklahoma,Biology / Zoology
181,3,2020-06-30T17:49:25.263,Hope College,Michigan,Ecology
182,4,2020-07-01T17:26:18.853,University of South Alabama,Alabama,Plant Systematics
182,5,2020-07-01T17:29:02.514,University of South Alabama,Alabama,Development & Evolution
183,6,2020-07-02T11:34:21.548,Auburn University,Alabama,Forest Biomaterials and Energy
188,7,2020-07-07T09:30:39.623,University at Buffalo (SUNY) ,New York,Microbiome Science
189,8,2020-07-08T09:55:43.072,University of Miami,Florida,Tropical Ecology
195,9,2020-07-14T08:23:14.383,University of Kansas,Kansas,Director of Biodiversity Institute
196,10,2020-07-15T10:14:33.211,Colorado College,Colorado,Environmental Science
196,11,2020-07-15T12:27:11.033,West Chester University,Pennsylvania,Freshwater Ecology
197,12,2020-07-16T12:51:28.268,Mississippi State University,Mississippi,Insect Pathologist
197,13,2020-07-16T12:52:55.425,Mississippi State University,Mississippi,Insect Taxonomist / Systematist
202,14,2020-07-21T07:56:29.080,Wesleyan University,Connecticut,Cell & Developmental Biology
205,15,2020-07-24T12:10:13.039,Florida A&M,Florida,Entomology - Biological Control
206,16,2020-07-25T16:43:03.370,Swarthmore College,Pennsylvania,Conservation Biology
208,17,2020-07-27T18:49:38.048,Morehead State University,Kentucky,Environmental Biology
209,18,2020-07-28T08:26:11.897,Lycoming College,Pennsylvania,Human Anatomy & Physiology
215,19,2020-08-03T15:09:57.570,Hamilton College,New York,Plant Ecology
218,20,2020-08-06T12:11:16.422,Emporia State University,Kansas,Ichthyology / Fisheries / Aquatic Ecology
219,21,2020-08-07T10:35:21.743,Bryn Mawr College,Pennsylvania,Genomics & Bioinformatics
226,22,2020-08-14T08:30:34.534,Cornell University,New York,Computational Biology
226,23,2020-08-14T18:52:19.222,St. Mary’s College,Maryland,Coastal Biology
226,24,2020-08-14T18:53:17.398,St. Mary’s College,Maryland,Plant Biology
230,25,2020-08-18T15:41:12.379,Dartmouth College,New Hampshire,Ecosystem Science & Global Change
233,26,2020-08-21T20:50:01.303,Smith College,Massachusetts,Quantitative Ecology
237,27,2020-08-25T09:15:46.660,Hastings College,Nebraska,Ecology and Conservation Biology
237,28,2020-08-25T12:30:14.758,Southern Illinois University,Illinois,Forest Ecosystem Services
238,29,2020-08-26T13:13:25.302,Iona College,New York,Environmental Science
238,30,2020-08-26T15:47:07.555,Utah State University,Utah,"Plant Ecology, Evolution, Systematics"
243,31,2020-08-31T19:50:59.218,Michigan State University,Michigan,Ecology/Evolutionary Biology
243,32,2020-08-31T19:53:15.192,"University of California, Berkeley",California,Earth and Planetary Science
243,33,2020-08-31T20:30:13.991,Clark University,Massachusetts,Evolutionary Biology
245,34,2020-09-02T10:09:12.343,The University of Texas at El Paso (UTEP),Texas,Landscape Ecology
245,35,2020-09-02T10:44:58.919,University of Alabama at Birmingham School of Medicine,Alabama,Neuroscience
246,36,2020-09-03T11:26:20.565,"California State University, East Bay",California,Environmental Geochemistry
248,37,2020-09-05T20:46:24.345,UNC Charlotte,North Carolina,Bioinformatics & Genomics
249,38,2020-09-06T00:23:18.999,Humboldt State University,California,Environmental Studies
249,39,2020-09-06T20:28:11.684,Salisbury University ,Maryland,Physiology
251,40,2020-09-08T16:35:48.015,Clark University,Massachusetts,Earth System Science
251,41,2020-09-08T16:49:20.244,Hampden-Sydney College,Virginia,Environmental and Conservation Biology
252,42,2020-09-09T09:48:46.801,Washington State University,Washington,Plant Pathology
252,43,2020-09-09T11:12:53.936,Smith College,Massachusetts,Plant Physiology
254,44,2020-09-11T18:07:35.937,UCSB,California,Environmental Data Science
255,45,2020-09-12T12:05:53.635,Rice University,Texas,Biosciences
257,46,2020-09-14T08:45:17.040,"California State University, East Bay",California,Integrative Biology
259,47,2020-09-16T00:24:01.907,University of Notre Dame,Indiana,Computer Science & Engineering
261,48,2020-09-18T11:32:55.507,University of Notre Dame,Indiana,"Ecology, Evolution or Environmental Change"
262,49,2020-09-19T19:09:37.019,UC Davis,California,Marine Ecology
264,50,2020-09-21T01:09:15.160,University of Notre Dame,Indiana,Biology of Disease
264,51,2020-09-21T12:15:35.797,Yale University,Connecticut,"Microbiology, Health & Disease"
266,52,2020-09-23T09:59:10.591,Texas A&M International University,Texas,Genetics (Bioinformatics)
266,53,2020-09-23T10:02:37.530,Texas A&M International University,Texas,Microbiology
267,54,2020-09-24T14:26:38.445,NC State University,North Carolina,Chemical Oceanography
268,55,2020-09-25T14:50:28.759,Auburn University,Alabama,Human-Environment Interactions
